trip_id,start_time,end_time,headway_secs,exact_times
38226,05:15:00,18:30:00,1140,0
38227,18:30:00,21:45:00,1260,0
38220,05:15:00,18:30:00,1140,0
38221,18:30:00,21:45:00,1260,0
38161,05:00:00,19:00:00,1380,0
38162,19:00:00,22:00:00,1560,0
38214,05:45:00,18:00:00,1740,0
38202,05:45:00,18:30:00,2880,0
38697,05:55:00,19:00:00,2580,0
38704,19:00:00,24:00:00,3480,0
38692,19:00:00,24:00:00,7200,0
38691,05:55:00,19:00:00,2580,0
38492,04:00:00,19:00:00,1200,0
38523,19:00:00,22:00:00,2100,0
38513,05:25:00,19:00:00,2100,0
38493,19:00:00,24:30:00,1500,0
38709,04:55:00,19:00:00,2340,0
38703,04:55:00,19:00:00,2340,0
38805,20:00:00,23:40:00,900,0
38710,19:00:00,24:00:00,3480,0
38850,06:10:00,19:00:00,3060,0
38698,19:00:00,24:00:00,7200,0
38804,07:00:00,20:00:00,480,0
38851,19:00:00,22:50:00,4920,0
38667,04:30:00,19:00:00,720,0
38673,04:30:00,19:00:00,720,0
38680,18:00:00,20:00:00,3240,0
38685,05:30:00,18:30:00,1680,0
38466,19:00:00,21:45:00,3000,0
38661,05:40:00,19:00:00,2340,0
38662,19:00:00,22:10:00,2520,0
38679,05:30:00,18:00:00,1680,0
38500,04:00:00,19:00:00,1200,0
38502,19:00:00,24:30:00,1500,0
38486,04:15:00,19:00:00,1080,0
38522,05:25:00,19:00:00,2100,0
38686,18:30:00,20:00:00,3240,0
38798,05:00:00,19:00:00,4620,0
38487,19:00:00,24:30:00,1200,0
38514,19:00:00,22:00:00,2100,0
38857,19:00:00,22:10:00,3960,0
38864,19:00:00,22:10:00,3960,0
38856,06:10:00,19:00:00,3120,0
38584,19:00:00,25:00:00,960,0
38734,19:00:00,25:00:00,4500,0
38779,05:00:00,19:00:00,3180,0
38766,19:00:00,24:00:00,4440,0
38590,04:45:00,19:00:00,1920,0
38733,04:30:00,19:00:00,2220,0
38825,07:00:00,23:00:00,840,0
38553,19:00:00,21:40:00,2700,0
38562,05:50:00,19:00:00,2700,0
38843,06:10:00,19:00:00,3060,0
38844,19:00:00,22:50:00,4920,0
38583,04:40:00,19:00:00,900,0
38863,06:10:00,19:00:00,3120,0
38573,19:00:00,25:00:00,960,0
38571,04:40:00,19:00:00,960,0
38536,06:00:00,18:00:00,1200,0
38563,19:00:00,21:40:00,2700,0
38552,05:50:00,19:00:00,2700,0
38545,18:00:00,19:40:00,1500,0
38544,06:00:00,18:00:00,1200,0
38537,18:00:00,19:40:00,1500,0
38721,04:20:00,19:00:00,2640,0
38722,19:00:00,23:40:00,3000,0
38716,19:00:00,23:40:00,3000,0
38715,04:20:00,19:00:00,2940,0
38799,19:00:00,24:00:00,4860,0
38812,20:00:00,23:40:00,900,0
38810,07:00:00,20:00:00,480,0
38818,07:00:00,23:00:00,840,0
38934,05:40:00,19:00:00,3420,0
38996,19:00:00,24:00:00,660,0
38951,19:00:00,23:20:00,1380,0
39004,19:00:00,24:00:00,660,0
38958,06:00:00,19:00:00,2880,0
38959,19:00:00,23:00:00,5280,0
38995,04:00:00,19:00:00,360,0
38965,06:00:00,19:00:00,2880,0
38740,19:00:00,25:00:00,4500,0
38747,05:00:00,19:00:00,3480,0
38748,19:00:00,25:00:00,4860,0
38924,05:40:00,19:00:00,3420,0
38925,19:00:00,21:30:00,5640,0
38935,19:00:00,21:30:00,5640,0
38966,19:00:00,23:00:00,5280,0
38943,19:00:00,23:20:00,1380,0
38592,19:00:00,24:00:00,3600,0
38629,19:00:00,24:25:00,4560,0
38628,05:25:00,19:00:00,2220,0
38617,19:00:00,25:25:00,4560,0
38601,04:45:00,19:00:00,1920,0
38616,05:25:00,19:00:00,2220,0
38739,04:30:00,19:00:00,2220,0
38603,19:00:00,24:00:00,3600,0
38771,05:20:00,19:00:00,2880,0
38765,05:20:00,19:00:00,2880,0
38780,19:00:00,24:00:00,6600,0
38773,19:00:00,24:00:00,4440,0
38787,19:00:00,24:00:00,6600,0
38786,05:00:00,19:00:00,3180,0
38793,19:00:00,24:00:00,4860,0
38792,05:00:00,19:00:00,4620,0
39076,18:30:00,20:30:00,3600,0
39081,06:10:00,19:00:00,2400,0
39070,18:30:00,20:30:00,3600,0
39075,06:20:00,18:30:00,3600,0
39064,19:00:00,24:30:00,1200,0
39069,06:20:00,18:30:00,3600,0
39057,05:30:00,19:00:00,1080,0
39058,19:00:00,24:30:00,1200,0
39052,19:00:00,23:00:00,3720,0
39051,06:00:00,19:00:00,2040,0
39045,06:00:00,19:00:00,2040,0
39046,19:00:00,23:00:00,3720,0
39028,19:00:00,23:00:00,5640,0
39040,19:00:00,23:00:00,4740,0
39039,06:00:00,19:00:00,2400,0
39027,06:00:00,19:00:00,2760,0
39022,19:00:00,23:00:00,5640,0
39021,06:00:00,19:00:00,2760,0
39016,19:00:00,23:00:00,1560,0
39015,06:10:00,19:00:00,1440,0
39034,19:00:00,23:00:00,4740,0
39063,05:30:00,19:00:00,1080,0
39010,19:00:00,23:00:00,1560,0
39009,06:10:00,19:00:00,1440,0
39033,06:00:00,19:00:00,2400,0
39002,04:00:00,19:00:00,360,0
38987,19:00:00,23:00:00,4560,0
38986,06:00:00,19:00:00,2700,0
38950,05:35:00,19:00:00,1380,0
38977,19:00:00,23:00:00,4560,0
38942,05:35:00,19:00:00,1380,0
38976,06:00:00,19:00:00,2700,0
39195,06:10:00,19:00:00,2280,0
39184,19:00:00,21:30:00,2040,0
39171,06:20:00,18:30:00,1200,0
39172,18:30:00,21:30:00,1500,0
39160,18:30:00,21:25:00,3900,0
39159,06:50:00,18:30:00,3600,0
39183,05:50:00,19:00:00,1740,0
39166,18:30:00,21:30:00,1500,0
39141,06:50:00,19:00:00,2220,0
39147,06:50:00,19:00:00,2220,0
39148,19:00:00,21:30:00,2520,0
39153,06:50:00,18:30:00,3600,0
39123,06:15:00,18:30:00,600,0
39124,18:30:00,21:30:00,900,0
39142,19:00:00,21:30:00,2520,0
39135,05:50:00,18:30:00,4020,0
39111,05:40:00,19:00:00,660,0
39106,19:00:00,22:15:00,660,0
39130,18:30:00,21:00:00,4320,0
39112,19:00:00,22:15:00,660,0
39118,18:30:00,21:30:00,900,0
39100,20:00:00,24:30:00,1200,0
39129,05:50:00,18:30:00,4020,0
39105,05:40:00,19:00:00,660,0
39094,20:00:00,24:30:00,1200,0
39093,05:30:00,20:00:00,900,0
39117,06:15:00,18:30:00,600,0
39099,05:30:00,20:00:00,900,0
39087,06:10:00,19:00:00,2400,0
39082,19:00:00,21:50:00,3000,0
39136,18:30:00,21:00:00,4320,0
39088,19:00:00,21:50:00,3000,0
39415,05:00:00,19:00:00,2040,0
39416,05:00:00,22:30:00,3900,0
39402,05:50:00,18:00:00,1620,0
39403,18:00:00,20:00:00,2340,0
37665,05:00:00,19:00:00,1080,0
37604,05:05:00,18:30:00,2280,0
38024,19:00:00,22:10:00,720,0
38095,05:00:00,19:00:00,900,0
39445,19:30:00,21:40:00,2460,0
39444,05:30:00,19:30:00,2220,0
39439,05:30:00,19:30:00,2220,0
39438,19:30:00,21:40:00,2460,0
39419,05:30:00,19:00:00,2640,0
39420,05:30:00,21:45:00,4500,0
39417,05:30:00,19:00:00,2640,0
39418,05:30:00,21:45:00,4200,0
37584,05:55:00,19:00:00,1980,0
37590,05:55:00,19:00:00,1980,0
39480,19:30:00,21:50:00,720,0
39479,05:30:00,19:30:00,600,0
39464,19:00:00,21:00:00,4320,0
39448,06:30:00,19:00:00,5220,0
39452,06:30:00,19:00:00,5220,0
39219,06:15:00,19:00:00,1200,0
37618,18:00:00,22:40:00,5400,0
37616,07:00:00,18:00:00,5400,0
37716,19:00:00,23:00:00,1080,0
37947,18:00:00,21:00:00,3900,0
37603,19:00:00,23:00:00,3240,0
37591,19:00:00,23:00:00,2580,0
37585,19:00:00,23:00:00,2580,0
37602,05:05:00,19:00:00,2280,0
39189,06:10:00,19:00:00,2280,0
39190,19:00:00,22:00:00,2580,0
39201,06:20:00,18:30:00,3060,0
39202,18:30:00,21:20:00,3360,0
39177,05:50:00,19:00:00,1740,0
39196,19:00:00,22:00:00,2580,0
39178,19:00:00,21:30:00,2040,0
39208,18:30:00,21:20:00,3360,0
39279,06:00:00,19:00:00,3000,0
39244,19:00:00,21:00:00,5400,0
39225,06:00:00,19:00:00,3660,0
39226,19:00:00,21:00:00,6960,0
39207,06:20:00,18:30:00,3060,0
39213,06:15:00,19:00:00,1200,0
39214,19:00:00,22:00:00,1500,0
39154,18:30:00,21:25:00,3900,0
39238,19:00:00,21:00:00,5400,0
39237,06:00:00,19:00:00,2820,0
39243,06:00:00,19:00:00,2820,0
39250,19:00:00,21:00:00,5640,0
39231,06:00:00,19:00:00,3660,0
39267,06:00:00,19:00:00,3000,0
39249,06:00:00,19:00:00,3000,0
39232,19:00:00,21:00:00,6960,0
39273,06:00:00,19:00:00,3000,0
39256,19:00:00,21:00:00,5640,0
39220,19:00:00,22:00:00,1500,0
39274,19:00:00,21:00:00,4320,0
39268,19:00:00,21:00:00,4320,0
39261,06:00:00,19:00:00,3000,0
39262,19:00:00,21:00:00,4320,0
39255,06:00:00,19:00:00,3000,0
37746,19:00:00,23:00:00,2400,0
37752,18:30:00,22:00:00,3600,0
37920,19:00:00,23:40:00,600,0
37745,05:00:00,19:00:00,2340,0
37751,04:40:00,18:30:00,2820,0
37764,05:00:00,19:00:00,1560,0
37758,04:40:00,18:30:00,2820,0
37759,18:30:00,22:00:00,3600,0
37771,19:00:00,22:00:00,1740,0
